scorer,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,440.595,156.491,1.0,432.417,158.417,1.0,409.107,173.847,1.0,341.482,136.958,1.0,348.1,138.419,1.0,380.054,133.016,1.0
1,440.586,156.443,1.0,432.327,158.421,1.0,409.183,173.764,1.0,342.168,138.246,1.0,348.289,138.739,1.0,380.409,133.014,1.0
2,440.432,156.327,1.0,432.119,158.179,1.0,409.145,173.67,1.0,342.6,138.598,1.0,347.948,139.257,1.0,380.283,132.984,1.0
3,440.422,156.313,1.0,432.222,158.113,1.0,408.966,173.595,1.0,343.187,138.926,1.0,348.102,139.862,1.0,380.703,132.988,1.0
4,440.421,156.309,1.0,432.223,158.11,1.0,408.965,173.592,1.0,343.186,138.925,1.0,348.1,139.86,1.0,380.703,132.986,1.0
5,440.376,156.437,1.0,432.257,158.148,1.0,409.27,173.626,1.0,343.109,138.399,1.0,348.736,138.837,1.0,380.855,133.153,1.0
6,439.692,155.959,1.0,432.125,157.858,1.0,409.181,173.754,1.0,342.8,138.183,1.0,348.873,138.63,1.0,381.112,133.245,1.0
7,439.906,156.148,1.0,432.043,158.375,1.0,409.209,173.837,1.0,342.476,137.654,1.0,348.519,138.454,1.0,380.569,133.534,1.0
8,440.139,156.403,1.0,432.255,158.663,1.0,409.293,173.845,1.0,342.007,137.555,1.0,348.338,138.282,1.0,380.222,133.293,1.0
9,440.001,155.767,1.0,432.393,158.581,1.0,409.146,174.012,1.0,341.669,136.897,1.0,347.817,138.077,1.0,380.245,133.166,1.0
10,439.997,155.762,1.0,432.387,158.576,1.0,409.145,174.008,1.0,341.653,136.898,1.0,347.867,138.051,1.0,380.294,133.196,1.0
11,341.052,136.157,1.0,350.115,134.986,1.0,381.078,133.21,1.0,439.884,156.467,1.0,432.288,158.581,1.0,409.192,173.851,1.0
12,341.204,136.111,1.0,350.383,134.991,1.0,380.723,133.376,1.0,440.271,156.509,1.0,432.417,158.831,1.0,409.107,173.801,1.0
13,341.132,135.722,1.0,350.353,134.882,1.0,380.563,133.359,1.0,440.507,156.312,1.0,432.561,158.833,1.0,409.053,173.795,1.0
14,340.93,135.729,1.0,350.457,134.709,1.0,380.93,133.399,1.0,440.397,156.36,1.0,432.534,158.932,1.0,409.1,173.868,1.0
15,340.976,135.712,1.0,349.98,134.915,1.0,380.715,133.229,1.0,440.162,156.311,1.0,432.229,158.542,1.0,409.275,173.967,1.0
16,340.954,135.703,1.0,350.04,134.863,1.0,380.717,133.229,1.0,440.164,156.306,1.0,432.232,158.543,1.0,409.277,173.975,1.0
17,440.538,155.497,1.0,431.961,158.216,1.0,409.056,173.637,1.0,341.201,136.13,1.0,349.639,135.314,1.0,380.529,133.509,1.0
18,341.39,135.995,1.0,350.22,135.113,1.0,380.362,133.472,1.0,440.429,156.006,1.0,428.257,161.211,1.0,409.014,173.786,1.0
19,340.602,135.058,1.0,350.442,134.452,1.0,379.64,133.351,1.0,439.911,156.353,1.0,431.806,158.034,1.0,409.204,173.855,1.0
